2019-01-27 00:06:42.546 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 00:06:43.116 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 00:46:31.210 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 00:46:31.855 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 00:49:10.734 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 00:49:11.550 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 01:02:21.795 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 01:02:22.428 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 01:13:29.310 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 01:13:29.924 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 01:38:38.230 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 01:38:38.828 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 01:52:13.979 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 01:52:14.629 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 01:53:21.374 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 01:53:22.001 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 02:41:50.837 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 02:41:51.440 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 10:28:49.815 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 10:28:50.463 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 10:34:29.787 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 10:34:30.610 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 10:36:39.087 WARN  NServiceBus.Transport.RabbitMQ.ChannelProvider Connection to the broker lost: End of stream
2019-01-27 10:36:39.144 INFO  NServiceBus.Transport.RabbitMQ.ChannelProvider Attempting to reconnect in 10 seconds.
2019-01-27 10:36:49.192 INFO  NServiceBus.Transport.RabbitMQ.ChannelProvider Connection to the broker reestablished successfully.
2019-01-27 10:38:19.498 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 10:38:20.579 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 10:42:40.320 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 10:42:41.167 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 10:55:53.013 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 10:55:53.748 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 10:59:38.850 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 10:59:39.579 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 11:05:03.022 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 11:05:03.780 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 11:05:32.176 WARN  NServiceBus.Transport.RabbitMQ.ChannelProvider Connection to the broker lost: End of stream
2019-01-27 11:05:32.239 INFO  NServiceBus.Transport.RabbitMQ.ChannelProvider Attempting to reconnect in 10 seconds.
2019-01-27 11:05:42.300 INFO  NServiceBus.Transport.RabbitMQ.ChannelProvider Connection to the broker reestablished successfully.
2019-01-27 11:11:15.185 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 11:11:15.782 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

2019-01-27 11:19:04.148 WARN  NServiceBus.Transport.RabbitMQ.ChannelProvider Connection to the broker lost: Unexpected Exception
2019-01-27 11:19:04.231 INFO  NServiceBus.Transport.RabbitMQ.ChannelProvider Attempting to reconnect in 10 seconds.
2019-01-27 11:19:14.555 INFO  NServiceBus.Transport.RabbitMQ.ChannelProvider Connection to the broker reestablished successfully.
2019-01-27 11:20:50.137 INFO  DefaultFactory Logging to '/app/bin/Debug/netcoreapp2.1/' with level Info
2019-01-27 11:20:50.830 INFO  NServiceBus.LicenseManager No valid license could be found. Falling back to trial license with start date '2019-01-27'.

